Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
101,00:00:04.213,7.573676900584796,5.79655701754386,7.345723684210526,9.57875
102,00:00:04.254,7.6015570175438585,5.821995614035088,7.250877192982456,9.731798245614035
103,00:00:04.296,6.911739766081872,5.026995614035088,6.504364035087719,9.203859649122807
104,00:00:04.338,7.143684210526316,4.844385964912281,6.802631578947368,9.784035087719298
105,00:00:04.379,6.543552631578947,4.712719298245614,6.161381578947369,8.75655701754386
106,00:00:04.421,6.89719298245614,5.53313596491228,5.8120394736842105,9.34640350877193
107,00:00:04.463,6.130358187134504,4.77438596491228,5.421293859649123,8.195394736842106
108,00:00:04.504,6.407792397660818,5.30344298245614,5.21234649122807,8.707587719298246
109,00:00:04.546,4.464437134502924,3.6439912280701754,3.803377192982456,5.94594298245614
110,00:00:04.588,4.413267543859649,3.569780701754386,3.5459649122807018,6.124057017543859
111,00:00:04.630,4.573318713450292,3.3691885964912283,3.895394736842105,6.455372807017544
112,00:00:04.671,5.056893274853802,4.062478070175438,4.218333333333334,6.889868421052632
113,00:00:04.713,4.620307017543859,3.216578947368421,4.211907894736842,6.432434210526316
114,00:00:04.755,5.8832236842105265,4.610921052631579,5.089298245614035,7.949451754385965
115,00:00:04.796,5.519612573099415,4.006425438596491,5.023837719298245,7.5285745614035084
116,00:00:04.838,6.14875,5.425087719298245,5.10515350877193,7.916008771929825
117,00:00:04.880,4.97562134502924,3.725043859649123,4.502478070175439,6.699342105263158
118,00:00:04.922,3.919795321637427,2.624078947368421,3.6179605263157897,5.5173464912280705
119,00:00:04.963,4.699671052631579,4.1400657894736845,3.5814912280701754,6.377456140350877
120,00:00:05.005,3.099612573099415,1.8474561403508771,2.9937719298245615,4.457609649122807
121,00:00:05.047,3.402266081871345,3.0919736842105263,2.489890350877193,4.624934210526316
122,00:00:05.088,2.6423684210526317,1.9674561403508772,2.216425438596491,3.7432236842105264
123,00:00:05.130,3.2410964912280704,2.3336184210526314,2.708815789473684,4.680855263157895
124,00:00:05.172,3.0756505847953215,2.3341228070175437,2.689627192982456,4.203201754385965
125,00:00:05.214,3.652266081871345,2.7437938596491227,3.22640350877193,4.986600877192982
126,00:00:05.255,3.369619883040935,2.2611842105263156,3.296535087719298,4.551140350877193
127,00:00:05.297,3.7321345029239765,2.3547368421052632,3.5972587719298246,5.244407894736842
128,00:00:05.339,4.948187134502924,4.087916666666667,4.1613377192982455,6.59530701754386
129,00:00:05.380,2.7105628654970757,1.4652412280701754,2.766206140350877,3.9002412280701755
130,00:00:05.422,2.773040935672515,2.3573464912280704,2.166315789473684,3.7954605263157895
131,00:00:05.464,2.495796783625731,2.3535745614035086,1.886469298245614,3.24734649122807
132,00:00:05.505,1.8307309941520469,1.1438815789473684,1.69625,2.652061403508772
133,00:00:05.547,3.1830555555555553,3.1738377192982457,2.0450877192982455,4.330241228070175
134,00:00:05.589,2.392529239766082,1.7011842105263157,1.9428728070175438,3.533530701754386
135,00:00:05.631,2.918187134502924,1.8343859649122807,2.429868421052632,4.490307017543859
136,00:00:05.672,54.44494883040935,33.61013157894737,71.8147149122807,57.91
137,00:00:05.714,12.743048245614034,9.76061403508772,12.805087719298246,15.663442982456141
138,00:00:05.756,9.861118421052632,7.447214912280701,9.963969298245614,12.17217105263158
139,00:00:05.797,11.394948830409357,10.860723684210527,9.778333333333334,13.545789473684211
